구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
2012,3500.0,5245.0,9210.0,12140.0,7262.0,4918.0,7945.0,9018.0,12790.0,9952.0,7900.0,10816.0,8371.0
2013,12182.0,12358.0,12400.0,11243.0,6938.0,5289.0,6287.0,13424.0,12511.0,5636.0,5586.0,5024.0,9021.0
2014,4623.0,4074.0,3604.0,3564.0,3369.0,3907.0,6010.0,7684.0,8042.0,4970.0,4172.0,3838.0,4789.0
2015,3800.0,4153.0,4850.0,4991.0,8978.0,7468.0,6448.0,6670.0,6110.0,4424.0,4445.0,4333.0,5540.0
2016,5520.0,8228.0,12005.0,15079.0,11430.0,6248.0,7505.0,15236.0,21042.0,10630.0,8473.0,9305.0,10858.0
2017,10110.0,10065.0,9468.0,7775.0,4297.0,4895.0,8459.0,15211.0,17419.0,7251.0,6074.0,6497.0,9066.0
2018,6828.0,9109.0,8733.0,8176.0,6406.0,5728.0,10402.0,18682.0,15165.0,8468.0,7468.0,6168.0,9275.0
2019,4848.0,4020.0,3735.0,3414.0,3904.0,5746.0,7365.0,8771.0,14847.0,15600.0,9671.0,9890.0,7643.0
2020,10326.0,9798.0,9639.0,10860.0,11711.0,9269.0,11623.0,19707.0,25957.0,12304.0,6560.0,5072.0,11866.0
2021,5972.0,8418.0,10400.0,10703.0,7161.0,6167.0,7640.0,10213.0,13354.0,7408.0,10858.0,8853.0,8942.0
2022,8812.0,8793.0,10050.0,11157.0,10025.0,10024.0,17255.0,19325.0,32343.0,13227.0,7320.0,6454.0,12899.0
"구분  1월  2월  3월  4월  5월  6월  7월  8월  9월  10월  11월  12월  연평균  2012  3,500  5,245  9,210  12,140  7,262  4,918  7,945  9,018  12,790  9,952  7,900  10,816  8,371  2013  12,182  12,358  12,400  11,243  6,938  5,289  6,287  13,424  12,511  5,636  5,586  5,024  9,021  2014  4,623  4,074  3,604  3,564  3,369  3,907  6,010  7,684  8,042  4,970  4,172  3,838  4,789  2015  3,800  4,153  4,850  4,991  8,978  7,468  6,448  6,670  6,110  4,424  4,445  4,333  5,540  2016  5,520  8,228  12,005  15,079  11,430  6,248  7,505  15,236  21,042  10,630  8,473  9,305  10,858  2017  10,110  10,065  9,468  7,775  4,297  4,895  8,459  15,211  17,419  7,251  6,074  6,497  9,066  2018  6,828  9,109  8,733  8,176  6,406  5,728  10,402  18,682  15,165  8,468  7,468  6,168  9,275  2019  4,848  4,020  3,735  3,414  3,904  5,746  7,365  8,771  14,847  15,600  9,671  9,890  7,643  2020  10,326  9,798  9,639  10,860  11,711  9,269  11,623  19,707  25,957  12,304  6,560  5,072  11,866  2021  5,972  8,418  10,400  10,703  7,161  6,167  7,640  10,213  13,354  7,408  10,858  8,853  8,942  2022  8,812  8,793  10,050  11,157  10,025  10,024  17,255  19,325  32,343  13,227  7,320  6,454  12,899",,,,,,,,,,,,,
